Team,Player,x,y,xG,Distance,Outcome,Body Part,Shot Type
Arsenal,Theo Walcott,105.3,52.4,0.09061787,19.231484602078957,Saved,Left Foot,Open Play
Arsenal,Theo Walcott,111.1,31.2,0.05124816,12.51598977308627,Off T,Head,Open Play
Southampton,Shane Long,110.5,30.6,0.27497175,13.364505228402582,Off T,Right Foot,Open Play
Southampton,Shane Long,111.4,36.3,0.57729316,9.36215787091843,Goal,Right Foot,Open Play
Arsenal,Aaron Ramsey,94.5,38.4,0.033079468,25.550146770615626,Saved,Right Foot,Open Play
Southampton,José Miguel da Rocha Fonte,117.6,43.1,0.20671774,3.9204591567825364,Goal,Head,Open Play
Southampton,Dušan Tadić,92.4,38.8,0.026508348,27.626074639731208,Saved,Left Foot,Open Play
Arsenal,Mesut Özil,115.5,35.6,0.38586125,6.2936475910238245,Saved,Left Foot,Open Play
Arsenal,Olivier Giroud,107.1,39.2,0.04935862,12.924782396620847,Saved,Head,Open Play
Southampton,Shane Long,109.1,53.5,0.10938502,17.35108065798785,Post,Right Foot,Open Play
Southampton,Oriol Romeu Vidal,105.1,34.1,0.06438182,16.025604512778923,Blocked,Right Foot,Open Play
Southampton,Juan Miguel Jiménez López,107.0,29.4,0.04350822,16.773789077009404,Blocked,Left Foot,Open Play
Southampton,Shane Long,107.6,50.6,0.20478666,16.313184851524248,Goal,Right Foot,Open Play
Southampton,Dušan Tadić,103.1,43.0,0.113582335,17.164206943520583,Blocked,Left Foot,Open Play
Swansea City,Éderzito António Macedo Lopes,114.4,45.4,0.09843861,7.779460135510685,Off T,Head,Open Play
Liverpool,Adam David Lallana,108.9,45.6,0.06939855,12.432618388738549,Blocked,Left Foot,Open Play
Liverpool,Jordon Ibe,103.5,51.6,0.033496827,20.169531476958014,Blocked,Right Foot,Open Play
Swansea City,Kyle Bartley,111.5,43.8,0.05618398,9.310746479203479,Wayward,Head,Open Play
Liverpool,Alberto Moreno Pérez,96.9,47.7,0.081441686,24.349537983296518,Off T,Left Foot,Free Kick
Swansea City,Éderzito António Macedo Lopes,95.1,60.7,0.007026824,32.38054971738436,Off T,Right Foot,Open Play
Swansea City,Sung-Yeung Ki,94.3,38.8,0.033030916,25.728000310945276,Off T,Left Foot,Open Play
Liverpool,Jordon Ibe,98.0,19.8,0.010196323,29.867038688159226,Saved,Right Foot,Open Play
Liverpool,Dejan Lovren,113.7,42.6,0.25389424,6.815423684555492,Off T,Head,Open Play
Liverpool,Christian Benteke Liolo,105.7,26.1,0.03122004,19.942417105255817,Blocked,Left Foot,Open Play
Liverpool,Roberto Firmino Barbosa de Oliveira,106.2,38.2,0.09072634,13.916896205691838,Blocked,Head,Open Play
Liverpool,Roberto Firmino Barbosa de Oliveira,105.8,50.9,0.08047935,17.90111728356641,Blocked,Left Foot,Open Play
Liverpool,James Philip Milner,108.3,39.6,0.7835,11.706835610018622,Goal,Right Foot,Penalty
Liverpool,James Philip Milner,105.4,26.8,0.06981137,19.68247951859724,Off T,Left Foot,Open Play
Swansea City,Jefferson Antonio Montero Vite,101.5,35.1,0.06018776,19.137920472193418,Blocked,Right Foot,Open Play
Swansea City,Bafétimbi Gomis,103.8,56.4,0.0164725,23.05211487044085,Blocked,Right Foot,Open Play
Swansea City,Jack Frank Porteous Cork,94.8,42.0,0.024244875,25.27924049491994,Wayward,Right Foot,Open Play
Swansea City,Ashley Williams,108.5,36.7,0.109172046,11.964113005150026,Off T,Head,Open Play
Swansea City,Bafétimbi Gomis,91.4,45.1,0.02442388,29.051161766786535,Blocked,Right Foot,Open Play
AFC Bournemouth,Junior Stanislas,107.1,26.6,0.02083787,18.60026881526179,Blocked,Right Foot,Open Play
AFC Bournemouth,Joshua King,113.7,54.0,0.034461774,15.352198539622915,Blocked,Right Foot,Open Play
Leicester City,Riyad Mahrez,115.7,50.5,0.035480928,11.346365056704283,Off T,Left Foot,Open Play
AFC Bournemouth,Joshua King,113.9,38.6,0.38371146,6.258594091327534,Off T,Head,Open Play
Leicester City,José Leonardo Ulloa,96.7,47.2,0.036740057,24.38708674688307,Wayward,Right Foot,Open Play
Leicester City,Jamie Vardy,111.3,38.7,0.5754278,8.796590248499703,Post,Right Foot,Open Play
AFC Bournemouth,Junior Stanislas,112.6,28.7,0.095997825,13.507405376311178,Off T,Right Foot,Open Play
Leicester City,José Leonardo Ulloa,112.1,32.8,0.04725947,10.688779163215981,Off T,Head,Open Play
AFC Bournemouth,Dan Gosling,108.4,43.0,0.25644818,11.981652640600121,Off T,Right Foot,Open Play
Leicester City,Jamie Vardy,114.2,27.2,0.1119732,14.052757736472937,Wayward,Left Foot,Open Play
Leicester City,Jamie Vardy,100.4,33.3,0.094897345,20.713522153414658,Saved,Right Foot,Open Play
Leicester City,Wes Morgan,117.3,39.5,0.64057934,2.745906043549199,Off T,Left Foot,Open Play
Leicester City,Riyad Mahrez,108.4,40.2,0.7835,11.601724009818534,Saved,Left Foot,Penalty
AFC Bournemouth,Adam Smith,87.6,45.6,0.022849003,32.88038929209934,Blocked,Right Foot,Open Play
AFC Bournemouth,Junior Stanislas,101.4,29.4,0.054560155,21.408409562599456,Blocked,Right Foot,Open Play
AFC Bournemouth,Adam Smith,88.5,47.4,0.01612113,32.35753389861471,Blocked,Right Foot,Open Play
Leicester City,N''Golo Kanté,97.0,32.9,0.0250954,24.07093683262037,Off T,Right Foot,Open Play
Leicester City,Robert Huth,114.3,30.0,0.05736443,11.510430052782565,Saved,Head,Open Play
AFC Bournemouth,Charlie Daniels,98.5,18.0,0.008613406,30.76117683054405,Off T,Left Foot,Open Play
Leicester City,Shinji Okazaki,103.7,26.3,0.039429333,21.292721761202813,Off T,Left Foot,Open Play
Leicester City,N''Golo Kanté,109.7,43.2,0.24525318,10.785638599545228,Off T,Left Foot,Open Play
AFC Bournemouth,Dan Gosling,103.0,50.4,0.042901754,19.92887352561604,Blocked,Left Foot,Open Play
Leicester City,Jamie Vardy,116.3,53.9,0.012095166,14.384018909887459,Off T,Head,Open Play
Leicester City,N''Golo Kanté,99.2,23.6,0.023959583,26.487733009829284,Blocked,Right Foot,Open Play
Leicester City,Danny Drinkwater,99.3,37.5,0.044721026,20.85041966004522,Off T,Left Foot,Open Play
Leicester City,Riyad Mahrez,91.1,41.6,0.028252145,28.944256770558134,Blocked,Left Foot,Open Play
Leicester City,N''Golo Kanté,96.0,26.8,0.020842131,27.390509305231987,Off T,Right Foot,Open Play
Sunderland,Lee Cattermole,98.0,42.4,0.047938,22.130521909796887,Blocked,Right Foot,Open Play
Sunderland,Steven Fletcher,112.9,49.2,0.18338391,11.621101496846157,Blocked,Right Foot,Open Play
Sunderland,Billy Jones,116.2,46.9,0.0682529,7.877182237323188,Blocked,Left Foot,Open Play
Sunderland,Billy Jones,116.1,45.7,0.21564297,6.906518659932808,Saved,Head,Open Play
Sunderland,Yann Gérard M''Vila,101.0,59.5,0.01078354,27.225906780123964,Blocked,Right Foot,Open Play
West Bromwich Albion,Stéphane Sessègnon,102.7,50.5,0.051626783,20.237094653136353,Off T,Left Foot,Open Play
West Bromwich Albion,James McClean,113.5,25.7,0.030730423,15.707959765672944,Off T,Left Foot,Open Play
Sunderland,Jordi Gómez García-Penche,85.2,45.0,0.013545745,35.15736053801536,Blocked,Left Foot,Open Play
West Bromwich Albion,Craig Dawson,91.3,58.2,0.0066569573,33.984261063027404,Off T,Right Foot,Open Play
West Bromwich Albion,José Salomón Rondón Giménez,114.0,34.7,0.11166397,8.005623023850172,Saved,Head,Open Play
West Bromwich Albion,Claudio Ariel Yacob,91.4,39.6,0.021192232,28.602797066021353,Blocked,Right Foot,Open Play
West Bromwich Albion,José Salomón Rondón Giménez,111.7,43.9,0.07337637,9.170605214488297,Blocked,Head,Open Play
